epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
84,6128.37,0.44905,0.89908,0.22268,0.29444,0.41312,0.28781,0.19547,0.43533,0.9313,0.2342,0.000479538,0.000479538,0.000479538
85,6200.25,0.4481,0.89019,0.22228,0.3062,0.40306,0.29746,0.2013,0.44491,0.91385,0.24367,0.000456056,0.000456056,0.000456056
86,6272.45,0.45172,0.90124,0.22275,0.40136,0.37272,0.27661,0.18708,0.43808,0.92304,0.23962,0.000433017,0.000433017,0.000433017
87,6344.8,0.45227,0.88232,0.22093,0.37686,0.39938,0.29642,0.19633,0.44486,0.91657,0.24394,0.000410436,0.000410436,0.000410436
88,6420.07,0.4466,0.89099,0.21874,0.28547,0.41827,0.28054,0.18868,0.44233,0.9185,0.24244,0.000388329,0.000388329,0.000388329
89,6492.95,0.44367,0.88786,0.21925,0.31533,0.40474,0.29382,0.19936,0.43955,0.92917,0.23824,0.00036671,0.00036671,0.00036671
90,6568.32,0.44479,0.89531,0.21947,0.29739,0.41026,0.29836,0.20296,0.43239,0.91729,0.23556,0.000345596,0.000345596,0.000345596
91,6642.03,0.44776,0.88567,0.21538,0.28039,0.4274,0.28314,0.19303,0.43326,0.91794,0.23408,0.000324999,0.000324999,0.000324999
92,6713.57,0.4486,0.87081,0.2187,0.30705,0.42709,0.29579,0.1997,0.43733,0.90062,0.23871,0.000304935,0.000304935,0.000304935
93,6785.75,0.4442,0.88835,0.21393,0.29433,0.42827,0.29212,0.19911,0.4307,0.92348,0.23536,0.000285417,0.000285417,0.000285417
94,6857.67,0.44324,0.87423,0.21607,0.39433,0.40298,0.30434,0.20721,0.43813,0.91732,0.23907,0.000266458,0.000266458,0.000266458
95,6929.68,0.4375,0.86836,0.21688,0.31914,0.40673,0.302,0.20688,0.43589,0.912,0.23761,0.000248072,0.000248072,0.000248072
96,7001.56,0.43855,0.86954,0.21347,0.31501,0.38516,0.30042,0.20804,0.43773,0.90504,0.24006,0.00023027,0.00023027,0.00023027
97,7073.58,0.43411,0.85872,0.2114,0.31469,0.39347,0.31017,0.20963,0.43814,0.90302,0.23666,0.000213066,0.000213066,0.000213066
98,7145.64,0.43692,0.84704,0.21414,0.29024,0.47957,0.30406,0.20832,0.43559,0.90203,0.23695,0.000196471,0.000196471,0.000196471
99,7218.24,0.43461,0.85139,0.21328,0.31766,0.39533,0.3023,0.20717,0.43601,0.9012,0.23833,0.000180496,0.000180496,0.000180496
100,7292.6,0.43563,0.84996,0.21722,0.30228,0.41838,0.29399,0.19943,0.4408,0.9044,0.24477,0.000165153,0.000165153,0.000165153
101,7366.82,0.43098,0.86961,0.21132,0.31694,0.39013,0.29314,0.199,0.43646,0.90547,0.23715,0.000150451,0.000150451,0.000150451
102,7441.03,0.43463,0.84928,0.21357,0.32644,0.39882,0.31,0.21176,0.43616,0.89723,0.23646,0.000136401,0.000136401,0.000136401
103,7513.43,0.43326,0.84631,0.21137,0.32463,0.40558,0.31064,0.21467,0.43911,0.89604,0.24085,0.000123013,0.000123013,0.000123013
104,7587.79,0.43122,0.85235,0.21316,0.30559,0.44024,0.31431,0.21557,0.43924,0.90094,0.23818,0.000110295,0.000110295,0.000110295
105,7662.68,0.42938,0.84272,0.21206,0.3179,0.40425,0.31618,0.21626,0.43847,0.89323,0.24026,9.82573e-05,9.82573e-05,9.82573e-05
106,7735.86,0.43302,0.8428,0.21035,0.3103,0.42468,0.31052,0.21181,0.43335,0.90226,0.23847,8.69069e-05,8.69069e-05,8.69069e-05
